Date,Open,High,Low,Close,Volume
2018-02-20,2433.35,2438.48,2411.23,2415.12,421485
2018-02-21,2417.73,2432.45,2404.02,2429.65,432275
2018-02-22,2417.18,2422.62,2405.23,2414.28,349492
2018-02-23,2427.13,2451.52,2427.13,2451.52,300578
2018-02-26,2465.35,2466.08,2447.86,2457.65,321259
2018-02-27,2474.08,2480.79,2456.14,2456.14,271231
2018-02-28,2447.11,2460.12,2426.21,2427.36,367556
2018-03-02,2406.57,2410.34,2387.25,2402.16,320397
2018-03-05,2405.92,2407.98,2374.8,2375.06,312254
2018-03-06,2400.67,2413.01,2392.87,2411.41,400110
2018-03-07,2413.39,2429.43,2395.24,2401.82,412971
2018-03-08,2420.67,2433.08,2407.59,2433.08,394848
2018-03-09,2443.43,2476.43,2436.03,2459.45,437265
2018-03-12,2485.64,2489.46,2474.91,2484.12,391303
2018-03-13,2483.05,2494.49,2478.76,2494.49,350203
2018-03-14,2477.43,2486.98,2474.77,2486.08,360865
2018-03-15,2486,2496.51,2471.04,2492.38,344009
2018-03-16,2495.11,2497.8,2476.88,2493.97,377766
2018-03-19,2491.99,2493.56,2470.91,2475.03,477219
2018-03-20,2456.8,2485.52,2456.8,2485.52,291495
2018-03-21,2488.22,2492.88,2483.78,2484.97,399073
2018-03-22,2494.84,2508.71,2485.34,2496.02,482138
2018-03-23,2446.73,2450.4,2412.62,2416.76,457952
2018-03-26,2414.68,2437.08,2399.44,2437.08,306904
2018-03-27,2455,2456.55,2444.92,2452.06,332128
2018-03-28,2425.94,2430.77,2409.47,2419.29,501307
2018-03-29,2421.7,2439.47,2413.71,2436.37,333359
2018-03-30,2454.1,2458.24,2445.72,2445.85,395329
2018-04-02,2454.72,2467.52,2440.89,2444.16,390319
2018-04-03,2422.26,2442.43,2416.44,2442.43,497140
2018-04-04,2447.97,2447.97,2405.91,2408.06,551703
2018-04-05,2426.92,2446.78,2420.92,2437.52,591042
2018-04-06,2420.88,2433.97,2417.24,2429.58,454309
2018-04-09,2424.15,2446.28,2424.15,2444.08,334424
2018-04-10,2439.94,2454.36,2419.55,2450.74,356390
2018-04-11,2456.53,2458.99,2441.2,2444.22,355187
2018-04-12,2450.95,2454.95,2441.58,2442.71,441568
2018-04-13,2449.42,2457.85,2442.35,2455.07,395886
2018-04-16,2466.04,2466.16,2449.97,2457.49,347173
2018-04-17,2459.39,2465.63,2449.08,2453.77,394700
2018-04-18,2467.55,2486.73,2467.55,2479.98,647285
2018-04-19,2483.26,2490.57,2476.51,2486.1,727030
2018-04-20,2478.59,2485.15,2472.37,2476.33,531718
2018-04-23,2473.7,2478.57,2466.57,2474.11,701423
2018-04-24,2478.47,2479.32,2454.44,2464.14,524280
2018-04-25,2444.19,2453.54,2436.51,2448.81,466095
2018-04-26,2460.62,2484.09,2456.2,2475.64,520917
2018-04-27,2497.75,2508.13,2484.19,2492.4,464957
2018-04-30,2502.29,2515.38,2500.22,2515.38,746291
2018-05-02,2515.75,2516.57,2501.71,2505.61,807588
2018-05-03,2506.94,2507.91,2487.25,2487.25,614102
2018-05-04,2486.47,2487.77,2461.38,2461.38,612024
2018-05-08,2468.45,2479.75,2444.08,2449.81,714734
2018-05-09,2450.71,2451.86,2428.79,2443.98,593365
2018-05-10,2458.67,2464.72,2448.01,2464.16,490004
2018-05-11,2469.3,2483.85,2468.41,2477.71,599900
2018-05-14,2482.97,2486.17,2471.91,2476.11,650707
2018-05-15,2476.87,2480.22,2456.2,2458.54,712619
2018-05-16,2446.64,2465.55,2444.67,2459.82,691813
2018-05-17,2468.72,2472.82,2448.43,2448.45,596771
2018-05-18,2459.73,2461.95,2452.34,2460.65,431376
2018-05-21,2464.07,2472.3,2447.69,2465.57,588088
2018-05-23,2462.98,2476.86,2460.07,2471.91,752675
2018-05-24,2477.48,2481.31,2457.84,2466.01,638125
2018-05-25,2452.8,2466.57,2444.77,2460.8,653592
2018-05-28,2465,2482.4,2463.14,2478.96,708362
2018-05-29,2476.7,2479.68,2457.18,2457.25,571836
2018-05-30,2446.81,2449.88,2399.58,2409.03,575922
2018-05-31,2428.83,2430.15,2415.5,2423.01,816930
2018-06-01,2419.63,2445.31,2418.11,2438.96,603023
2018-06-04,2444.62,2452.67,2441.25,2447.76,438929
2018-06-05,2450.39,2455.78,2432.81,2453.76,501363
2018-06-07,2468.26,2478.67,2466.01,2470.58,474146
2018-06-08,2467.88,2468.27,2449.11,2451.58,530159
2018-06-11,2454.25,2470.99,2448,2470.15,427946
2018-06-12,2474.78,2479.56,2462.84,2468.83,613166
2018-06-14,2450.86,2451.95,2422.37,2423.48,533448
2018-06-15,2432.18,2433.51,2403.97,2404.04,502361
2018-06-18,2404.68,2405.56,2365.31,2376.24,564818
2018-06-19,2373.12,2379.49,2336.54,2340.11,606304
2018-06-20,2350.24,2374.52,2345.22,2363.91,456004
2018-06-21,2364.16,2370.58,2337.83,2337.83,438264
2018-06-22,2323.08,2357.4,2320.76,2357.22,537263
2018-06-25,2351.89,2361.39,2337.22,2357.88,415079
2018-06-26,2334.75,2358.01,2326.61,2350.92,470914
2018-06-27,2349.38,2358.71,2342.02,2342.03,526625
2018-06-28,2327.37,2335.35,2310.8,2314.24,414370
2018-06-29,2325.68,2329.58,2296.39,2326.13,396663
2018-07-02,2322.23,2327.59,2271.53,2271.54,393265
2018-07-03,2285.88,2287.39,2252.36,2272.76,366027
2018-07-04,2270.95,2280.81,2261.34,2265.46,315103
2018-07-05,2264.74,2274.74,2243.9,2257.55,346883
2018-07-06,2261.44,2283.75,2247.35,2272.87,344433
2018-07-09,2276.92,2294.61,2267.25,2285.8,352638
2018-07-10,2299.09,2305.84,2292.13,2294.16,339918
2018-07-11,2277.22,2287.08,2262.77,2280.62,422988
2018-07-12,2285.93,2298.56,2277.73,2285.06,364407
2018-07-13,2293.07,2313.8,2293.07,2310.9,291562
2018-07-16,2312.26,2317.84,2299.79,2301.99,297122
2018-07-17,2302.95,2306.07,2290.24,2297.92,379033
2018-07-18,2313.78,2319.39,2287.1,2290.11,402771
2018-07-19,2298.91,2300.18,2278.94,2282.29,464516
2018-07-20,2281.36,2293.34,2269.55,2289.19,353236
2018-07-23,2289.61,2289.61,2264.42,2269.31,334290
2018-07-24,2273.15,2284.43,2263.13,2280.2,436133
2018-07-25,2284.38,2292.61,2269.67,2273.03,309319
2018-07-26,2284.51,2297.16,2276.54,2289.06,303334
2018-07-27,2292.33,2295.27,2284.44,2294.99,262143
2018-07-30,2290.18,2296.91,2283.29,2293.51,206497
2018-07-31,2292.23,2296.6,2286.02,2295.26,223927
2018-08-01,2301.17,2312.65,2301.13,2307.07,219034
2018-08-02,2304.14,2306.72,2265.46,2270.2,352056
2018-08-03,2278.33,2288.93,2272.94,2287.68,270494
2018-08-06,2288.51,2300.38,2283.26,2286.5,244548
2018-08-07,2290.85,2301.27,2279.55,2300.16,230339
2018-08-08,2305.73,2308.6,2298.41,2301.45,299691
2018-08-09,2303.04,2303.71,2291.91,2303.71,244882
2018-08-10,2295.21,2295.62,2277.89,2282.79,286161
2018-08-13,2266.43,2271.82,2238.55,2248.45,335380
2018-08-14,2249.86,2262.52,2247.37,2258.91,255216
2018-08-16,2233.05,2244.08,2218.09,2240.8,312519
2018-08-17,2244.61,2250.92,2240.14,2247.05,238377
2018-08-20,2257.35,2264.42,2245.06,2247.88,271600
2018-08-21,2248.04,2272.86,2244.59,2270.06,294337
2018-08-22,2273.68,2280.31,2268.91,2273.33,269270
2018-08-23,2282.57,2282.88,2268.06,2282.6,338386
2018-08-24,2276.16,2295.22,2271.35,2293.21,347291
2018-08-27,2297.32,2302.87,2289.41,2299.3,307044
2018-08-28,2312.14,2314.6,2299.45,2303.12,276889
2018-08-29,2304.66,2309.88,2300.21,2309.03,268214
2018-08-30,2313.11,2320.85,2305.46,2307.35,286926
2018-08-31,2298.13,2322.88,2295.72,2322.88,255908
2018-09-03,2317.93,2318.72,2302.17,2307.03,230513
2018-09-04,2308.96,2317.74,2302.17,2315.72,277014
2018-09-05,2310.9,2315.43,2288.01,2291.77,358187
2018-09-06,2288.8,2298.47,2284.5,2287.61,387510
2018-09-07,2278.08,2286.82,2264.9,2281.58,357560
2018-09-10,2277.35,2289.38,2276.6,2288.66,312612
2018-09-11,2286.91,2295.76,2275.13,2283.2,368210
2018-09-12,2286.28,2289.66,2271,2282.92,336830
2018-09-13,2285.28,2291.51,2281.63,2286.23,301308
2018-09-14,2304.7,2318.65,2304.15,2318.25,292236
2018-09-17,2314.55,2314.55,2295.26,2303.01,343167
2018-09-18,2287.73,2310.97,2287.42,2308.98,309235
2018-09-19,2319.22,2319.22,2301.79,2308.46,350949
2018-09-20,2314.41,2334.04,2311.56,2323.45,289085
2018-09-21,2332.04,2339.17,2325.12,2339.17,321703
2018-09-27,2331.7,2355.43,2331.7,2355.43,279230
2018-09-28,2356.13,2356.62,2337.47,2343.07,317870
2018-10-01,2349.64,2352.11,2333.32,2338.88,278310
2018-10-02,2338.28,2341.55,2308.9,2309.57,287868
2018-10-04,2311.06,2311.06,2270.22,2274.49,309502
2018-10-05,2269.94,2278.12,2250.99,2267.52,282139
2018-10-08,2258.73,2273.71,2253.83,2253.83,214644
2018-10-10,2256.03,2257.52,2222.95,2228.61,365683
2018-10-11,2176.16,2186.69,2129.67,2129.67,411919
2018-10-12,2131.66,2173.01,2129.13,2161.85,292573
2018-10-15,2155.34,2159.23,2141.28,2145.12,259176
2018-10-16,2156,2161.76,2140.19,2145.12,222512
2018-10-17,2169.44,2182.77,2159.37,2167.51,275159
2018-10-18,2158.8,2168.01,2146.61,2148.31,321762
2018-10-19,2130.06,2158.78,2117.62,2156.26,351771
2018-10-22,2143.08,2163.21,2136.92,2161.71,308740
2018-10-23,2147.3,2148.8,2094.69,2106.1,373468
2018-10-24,2119.19,2121.36,2092.1,2097.58,399734
2018-10-25,2046.67,2066.06,2033.81,2063.3,376014
2018-10-26,2066.57,2066.57,2008.86,2027.15,449197
2018-10-29,2026.68,2045.76,1993.77,1996.05,427304
2018-10-30,1985.95,2028.84,1985.95,2014.69,441585
2018-10-31,2022.84,2030.5,2006.63,2029.69,373027
2018-11-01,2035.11,2054.22,2023.43,2024.46,343813
2018-11-02,2046.61,2096.63,2044.94,2096,371978
2018-11-05,2079.81,2080.49,2052.67,2076.92,361302
2018-11-06,2085.81,2092.61,2068.59,2089.62,315816
2018-11-07,2090.32,2107.63,2072.48,2078.69,485225
2018-11-08,2109.97,2120.88,2092.36,2092.63,328034
2018-11-09,2093.89,2101.92,2082.47,2086.09,298072
2018-11-12,2065.92,2087.24,2065.52,2080.44,295528
2018-11-13,2047.62,2072.03,2032.05,2071.23,383421
2018-11-14,2071.41,2075.12,2060.86,2068.05,339046
2018-11-15,2061.47,2088.61,2058.73,2088.06,351042
2018-11-16,2097.94,2103.11,2086.54,2092.4,301604
2018-11-19,2096.13,2111.39,2089.37,2100.56,273198
2018-11-20,2074.67,2089.54,2074.67,2082.58,281685
2018-11-21,2057.07,2077.49,2049.76,2076.55,267903
2018-11-22,2079.01,2081.75,2066.2,2069.95,242498
2018-11-23,2073.26,2075.91,2047.96,2057.48,227202
2018-11-26,2060.17,2083.96,2060.17,2083.02,237710
2018-11-27,2091.75,2102.29,2079.49,2099.42,239211
2018-11-28,2104.13,2108.65,2094.32,2108.22,300075
2018-11-29,2133.95,2136.74,2108.9,2114.1,307230
2018-11-30,2116.83,2122.33,2093.83,2096.86,427354
2018-12-03,2127.78,2136.64,2113.6,2131.93,436588
2018-12-04,2125.67,2128.94,2105.45,2114.35,507517
2018-12-05,2086.57,2107.69,2086.57,2101.31,492716
2018-12-06,2094.62,2094.62,2064,2068.69,537409
2018-12-07,2081.68,2086.84,2065.62,2075.76,371590
2018-12-10,2048.45,2061.78,2043.21,2053.79,344164
2018-12-11,2058.16,2060.94,2047.17,2052.97,273932
2018-12-12,2062.77,2084.77,2061.13,2082.57,457126
2018-12-13,2087.43,2104.43,2084.37,2095.55,379818
2018-12-14,2095.64,2095.64,2061.4,2069.38,448237
2018-12-17,2071.21,2075.93,2065.51,2071.09,444522
2018-12-18,2057.39,2074.31,2054.26,2062.11,429530
2018-12-19,2068.95,2080.65,2063.01,2078.84,418796
2018-12-20,2063.7,2071.08,2047.52,2060.12,421064
2018-12-21,2052.7,2061.51,2049.76,2061.49,311388
2018-12-24,2050.38,2059.94,2046.18,2055.01,285275
2018-12-26,2028.81,2037.83,2014.28,2028.01,321499
2018-12-27,2032.09,2035.57,2021.39,2028.44,398021
2018-12-28,2036.7,2046.97,2035.41,2041.04,352677
