Date,Hour,Count,Count_B2,Temp_B2,Hum_B2,Weekday
2017-12-12,0,133,222,-10.2,50,Tue
2017-12-12,1,127,174,-10.7,53,Tue
2017-12-12,2,95,133,-11,51,Tue
2017-12-12,3,54,127,-11.2,51,Tue
2017-12-12,4,46,95,-11.5,50,Tue
2017-12-12,5,65,54,-11.6,50,Tue
2017-12-12,6,104,46,-11.6,47,Tue
2017-12-12,7,280,65,-11.6,45,Tue
2017-12-12,8,580,104,-11.8,47,Tue
2017-12-12,9,275,280,-12.1,50,Tue
2017-12-12,10,184,580,-12.3,52,Tue
2017-12-12,11,201,275,-11.8,46,Tue
2017-12-12,12,228,184,-10.5,45,Tue
2017-12-12,13,225,201,-9.4,42,Tue
2017-12-12,14,258,228,-8.3,35,Tue
2017-12-12,15,250,225,-6.9,37,Tue
2017-12-12,16,248,258,-5.4,32,Tue
2017-12-12,17,305,250,-5.8,30,Tue
2017-12-12,18,529,248,-6,29,Tue
2017-12-12,19,350,305,-7,32,Tue
2017-12-12,20,260,529,-7.7,36,Tue
2017-12-12,21,270,350,-8.2,43,Tue
2017-12-12,22,256,260,-8.4,42,Tue
2017-12-12,23,173,270,-8.8,43,Tue
2017-12-13,0,168,256,-9,45,Wed
2017-12-13,1,183,173,-9.3,47,Wed
2017-12-13,2,120,168,-9.5,48,Wed
2017-12-13,3,79,183,-10.2,52,Wed
2017-12-13,4,41,120,-10.4,53,Wed
2017-12-13,5,68,79,-10.9,55,Wed
2017-12-13,6,109,41,-11.4,58,Wed
2017-12-13,7,310,68,-11.5,58,Wed
2017-12-13,8,591,109,-11.9,57,Wed
2017-12-13,9,340,310,-11.7,53,Wed
2017-12-13,10,202,591,-11.4,47,Wed
2017-12-13,11,251,340,-11.1,46,Wed
2017-12-13,12,267,202,-9.5,39,Wed
2017-12-13,13,251,251,-8.1,35,Wed
2017-12-13,14,240,267,-6.5,30,Wed
2017-12-13,15,240,251,-5.8,28,Wed
2017-12-13,16,278,240,-4.7,27,Wed
2017-12-13,17,392,240,-4.9,26,Wed
2017-12-13,18,537,278,-4.5,26,Wed
2017-12-13,19,373,392,-5.6,29,Wed
2017-12-13,20,263,537,-6.6,33,Wed
2017-12-13,21,271,373,-6.6,31,Wed
2017-12-13,22,271,263,-7.6,35,Wed
2017-12-13,23,174,271,-8.3,39,Wed
2017-12-14,0,171,271,-8.9,39,Thu
2017-12-14,1,170,174,-9.2,44,Thu
2017-12-14,2,107,171,-9.5,50,Thu
2017-12-14,3,80,170,-9.8,48,Thu
2017-12-14,4,52,107,-10.6,44,Thu
2017-12-14,5,62,80,-10.7,48,Thu
2017-12-14,6,108,52,-11,50,Thu
2017-12-14,7,279,62,-10.8,48,Thu
2017-12-14,8,621,108,-11,55,Thu
2017-12-14,9,305,279,-10.9,57,Thu
2017-12-14,10,189,621,-10.4,54,Thu
2017-12-14,11,247,305,-9.4,44,Thu
2017-12-14,12,278,189,-7.7,43,Thu
2017-12-14,13,282,247,-6.1,38,Thu
2017-12-14,14,294,278,-4.9,34,Thu
2017-12-14,15,301,282,-3.8,32,Thu
2017-12-14,16,335,294,-2.7,28,Thu
2017-12-14,17,382,301,-2.5,29,Thu
2017-12-14,18,612,335,-2.4,28,Thu
2017-12-14,19,410,382,-2.9,31,Thu
2017-12-14,20,277,612,-3.5,35,Thu
2017-12-14,21,316,410,-4.2,40,Thu
2017-12-14,22,309,277,-4.8,43,Thu
2017-12-14,23,211,316,-4.8,45,Thu
2017-12-15,0,227,309,-4.9,44,Fri
2017-12-15,1,241,211,-5.6,53,Fri
2017-12-15,2,162,227,-5.7,53,Fri
2017-12-15,3,110,241,-6.3,57,Fri
2017-12-15,4,69,162,-6.8,58,Fri
2017-12-15,5,68,110,-6.9,56,Fri
2017-12-15,6,129,69,-7.1,59,Fri
2017-12-15,7,285,68,-7.5,64,Fri
2017-12-15,8,658,129,-7.4,64,Fri
2017-12-15,9,330,285,-7,63,Fri
2017-12-15,10,221,658,-6.6,64,Fri
2017-12-15,11,279,330,-5.9,60,Fri
2017-12-15,12,309,221,-4.6,52,Fri
2017-12-15,13,325,279,-2.9,46,Fri
2017-12-15,14,329,309,-2.5,43,Fri
2017-12-15,15,342,325,-1.6,40,Fri
2017-12-15,16,354,329,-0.7,39,Fri
2017-12-15,17,464,342,0.1,35,Fri
2017-12-15,18,682,354,0,37,Fri
2017-12-15,19,451,464,-0.2,39,Fri
2017-12-15,20,320,682,0.1,43,Fri
2017-12-15,21,300,451,0.6,41,Fri
2017-12-15,22,296,320,0.9,42,Fri
2017-12-15,23,247,300,0.7,47,Fri
2017-12-16,0,217,296,-0.1,49,Sat
2017-12-16,1,302,247,-1.3,60,Sat
2017-12-16,2,228,217,-2.6,73,Sat
2017-12-16,3,129,302,-3.4,76,Sat
2017-12-16,4,80,228,-4.1,73,Sat
2017-12-16,5,45,129,-4.5,71,Sat
2017-12-16,6,66,80,-5,70,Sat
2017-12-16,7,90,45,-5.6,72,Sat
2017-12-16,8,190,66,-6.1,69,Sat
2017-12-16,9,195,90,-6.7,64,Sat
2017-12-16,10,201,190,-7.3,62,Sat
2017-12-16,11,239,195,-7.2,47,Sat
2017-12-16,12,252,201,-6.2,42,Sat
2017-12-16,13,296,239,-5.2,30,Sat
2017-12-16,14,292,252,-4.1,28,Sat
2017-12-16,15,291,296,-3.7,23,Sat
2017-12-16,16,258,292,-3.4,22,Sat
2017-12-16,17,277,291,-3.3,22,Sat
2017-12-16,18,212,258,-3.3,24,Sat
2017-12-16,19,173,277,-4.6,26,Sat
2017-12-16,20,143,212,-5.3,28,Sat
2017-12-16,21,159,173,-6,32,Sat
2017-12-16,22,155,143,-6.6,37,Sat
2017-12-16,23,142,159,-7.1,39,Sat
2017-12-17,0,175,155,-7.6,41,Sun
2017-12-17,1,146,142,-8,41,Sun
2017-12-17,2,132,175,-8.1,41,Sun
2017-12-17,3,100,146,-8.4,40,Sun
2017-12-17,4,41,132,-8.7,40,Sun
2017-12-17,5,31,100,-9,40,Sun
2017-12-17,6,39,41,-9.5,40,Sun
2017-12-17,7,53,31,-9.7,41,Sun
2017-12-17,8,94,39,-9.9,42,Sun
2017-12-17,9,122,53,-10.2,42,Sun
2017-12-17,10,142,94,-10.7,43,Sun
2017-12-17,11,189,122,-10.5,38,Sun
2017-12-17,12,216,142,-8.5,31,Sun
2017-12-17,13,223,189,-7.2,29,Sun
2017-12-17,14,268,216,-4.9,25,Sun
2017-12-17,15,278,223,-4.5,25,Sun
2017-12-17,16,256,268,-3.2,26,Sun
2017-12-17,17,266,278,-2.5,28,Sun
2017-12-17,18,204,256,-2.7,31,Sun
2017-12-17,19,157,266,-3.8,35,Sun
2017-12-17,20,166,204,-4.7,37,Sun
2017-12-17,21,168,157,-5.6,39,Sun
2017-12-17,22,172,166,-6,42,Sun
2017-12-17,23,138,168,-6.5,45,Sun
2017-12-18,0,151,172,-6.6,50,Mon
2017-12-18,1,97,138,-6.9,53,Mon
2017-12-18,2,38,151,-5.9,50,Mon
2017-12-18,3,32,97,-5.3,48,Mon
2017-12-18,4,29,38,-5,65,Mon
2017-12-18,5,27,32,-5.3,76,Mon
2017-12-18,6,45,29,-5.4,81,Mon
2017-12-18,7,96,27,-5.3,81,Mon
2017-12-18,8,146,45,-5.2,85,Mon
2017-12-18,9,52,96,-5,85,Mon
2017-12-18,10,36,146,-4.6,86,Mon
2017-12-18,11,44,52,-4.3,89,Mon
2017-12-18,12,62,36,-3.7,87,Mon
2017-12-18,13,76,44,-2.9,85,Mon
2017-12-18,14,116,62,-1.8,83,Mon
2017-12-18,15,137,76,-0.9,84,Mon
2017-12-18,16,181,116,0.5,76,Mon
2017-12-18,17,175,137,1.6,73,Mon
2017-12-18,18,281,181,1.8,76,Mon
2017-12-18,19,198,175,0.4,84,Mon
2017-12-18,20,165,281,0,88,Mon
2017-12-18,21,148,198,1.3,65,Mon
2017-12-18,22,160,165,3.3,65,Mon
2017-12-18,23,128,148,2.8,73,Mon
2017-12-19,0,122,160,1.5,82,Tue
2017-12-19,1,122,128,0.1,81,Tue
2017-12-19,2,93,122,-1,73,Tue
2017-12-19,3,55,122,-2,72,Tue
2017-12-19,4,39,93,-2.7,72,Tue
2017-12-19,5,55,55,-2.8,58,Tue
2017-12-19,6,78,39,-2.9,59,Tue
2017-12-19,7,165,55,-3.9,66,Tue
2017-12-19,8,390,78,-4.3,70,Tue
2017-12-19,9,199,165,-4.4,64,Tue
2017-12-19,10,151,390,-5.2,58,Tue
2017-12-19,11,174,199,-5.3,48,Tue
2017-12-19,12,191,151,-4.6,41,Tue
2017-12-19,13,189,174,-3.5,35,Tue
2017-12-19,14,178,191,-2.5,31,Tue
2017-12-19,15,195,189,-2.2,25,Tue
2017-12-19,16,211,178,-2.2,23,Tue
2017-12-19,17,256,195,-1.3,26,Tue
2017-12-19,18,384,211,-1.8,31,Tue
2017-12-19,19,276,256,-2.7,35,Tue
2017-12-19,20,225,384,-3.8,42,Tue
2017-12-19,21,224,276,-4.5,51,Tue
2017-12-19,22,213,225,-4.9,55,Tue
2017-12-19,23,149,224,-5,57,Tue
2017-12-20,0,142,213,-5.5,56,Wed
2017-12-20,1,172,149,-5.8,57,Wed
2017-12-20,2,108,142,-6.5,63,Wed
2017-12-20,3,71,172,-7.3,67,Wed
2017-12-20,4,38,108,-7.8,68,Wed
2017-12-20,5,56,71,-8.1,70,Wed
2017-12-20,6,97,38,-8.5,73,Wed
2017-12-20,7,213,56,-8.3,67,Wed
2017-12-20,8,466,97,-8.2,66,Wed
2017-12-20,9,239,213,-8.1,67,Wed
2017-12-20,10,162,466,-7.8,65,Wed
2017-12-20,11,204,239,-6.7,62,Wed
2017-12-20,12,209,162,-5.4,56,Wed
2017-12-20,13,228,204,-4.2,51,Wed
2017-12-20,14,243,209,-3.2,49,Wed
2017-12-20,15,240,228,-1.3,43,Wed
2017-12-20,16,225,243,-0.5,44,Wed
2017-12-20,17,237,240,-0.2,45,Wed
2017-12-20,18,329,225,-0.5,48,Wed
2017-12-20,19,190,237,-0.9,70,Wed
2017-12-20,20,165,329,-1.4,79,Wed
2017-12-20,21,197,190,-1.5,81,Wed
2017-12-20,22,184,165,-1.9,86,Wed
2017-12-20,23,153,197,-2,83,Wed
2017-12-21,0,166,184,-1.6,82,Thu
2017-12-21,1,189,153,-1.1,87,Thu
2017-12-21,2,132,166,-1.3,90,Thu
2017-12-21,3,79,189,-1.8,90,Thu
2017-12-21,4,58,132,-2.2,88,Thu
2017-12-21,5,49,79,-2.9,89,Thu
2017-12-21,6,84,58,-3.6,91,Thu
2017-12-21,7,178,49,-4.3,91,Thu
2017-12-21,8,423,84,-4.8,91,Thu
2017-12-21,9,265,178,-5.3,90,Thu
2017-12-21,10,169,423,-5.6,89,Thu
2017-12-21,11,243,265,-5.3,88,Thu
2017-12-21,12,290,169,-3,71,Thu
2017-12-21,13,285,243,-0.7,62,Thu
2017-12-21,14,255,290,1.9,40,Thu
2017-12-21,15,316,285,3.2,42,Thu
2017-12-21,16,301,255,4.3,47,Thu
2017-12-21,17,366,316,4.4,46,Thu
2017-12-21,18,531,301,4.1,51,Thu
2017-12-21,19,355,366,2.9,60,Thu
2017-12-21,20,288,531,1.7,64,Thu
2017-12-21,21,248,355,0.8,71,Thu
2017-12-21,22,252,288,0.2,72,Thu
2017-12-21,23,212,248,-0.4,74,Thu
2017-12-22,0,196,252,-1.1,78,Fri
2017-12-22,1,250,212,-1.5,79,Fri
2017-12-22,2,161,196,-1.7,79,Fri
2017-12-22,3,99,250,-1.6,79,Fri
2017-12-22,4,64,161,-1.1,79,Fri
2017-12-22,5,76,99,-0.6,76,Fri
2017-12-22,6,114,64,-0.3,76,Fri
2017-12-22,7,283,76,-0.2,73,Fri
2017-12-22,8,544,114,-0.1,71,Fri
2017-12-22,9,298,283,-0.3,72,Fri
2017-12-22,10,248,544,-0.4,69,Fri
2017-12-22,11,278,298,0.3,67,Fri
2017-12-22,12,301,248,1.4,64,Fri
2017-12-22,13,320,278,3.1,57,Fri
2017-12-22,14,326,301,4.5,56,Fri
2017-12-22,15,386,320,5.4,55,Fri
2017-12-22,16,416,326,5.9,55,Fri
2017-12-22,17,477,386,6.5,55,Fri
2017-12-22,18,671,416,6,58,Fri
2017-12-22,19,481,477,5.4,61,Fri
2017-12-22,20,323,671,4.9,63,Fri
2017-12-22,21,309,481,5.2,64,Fri
2017-12-22,22,314,323,5.9,67,Fri
2017-12-22,23,249,309,6.1,70,Fri
2017-12-23,0,282,314,6.1,70,Sat
2017-12-23,1,337,249,5.8,74,Sat
2017-12-23,2,312,282,5.8,75,Sat
2017-12-23,3,230,337,5.7,75,Sat
2017-12-23,4,120,312,5.6,76,Sat
2017-12-23,5,59,230,5.4,77,Sat
2017-12-23,6,63,120,5.3,79,Sat
2017-12-23,7,99,59,5,81,Sat
2017-12-23,8,188,63,5.1,81,Sat
2017-12-23,9,239,99,5.1,82,Sat
2017-12-23,10,235,188,5.1,83,Sat
2017-12-23,11,282,239,5.2,84,Sat
2017-12-23,12,325,235,5.4,82,Sat
2017-12-23,13,423,282,5.7,81,Sat
2017-12-23,14,405,325,7,72,Sat
2017-12-23,15,443,423,7.7,68,Sat
2017-12-23,16,473,405,8.6,63,Sat
2017-12-23,17,453,443,8.6,64,Sat
2017-12-23,18,340,473,8.2,64,Sat
2017-12-23,19,260,453,7.7,67,Sat
2017-12-23,20,258,340,6.6,73,Sat
2017-12-23,21,279,260,6,76,Sat
2017-12-23,22,282,258,5.9,75,Sat
2017-12-23,23,237,279,5.6,77,Sat
2017-12-24,0,266,282,5.3,79,Sun
2017-12-24,1,251,237,5.5,80,Sun
2017-12-24,2,196,266,5.6,78,Sun
2017-12-24,3,149,251,5.6,78,Sun
2017-12-24,4,79,196,5.4,80,Sun
2017-12-24,5,44,149,5.2,82,Sun
2017-12-24,6,12,79,5.2,82,Sun
2017-12-24,7,3,44,5.1,82,Sun
2017-12-24,8,4,12,4.9,84,Sun
2017-12-24,9,3,3,4.7,89,Sun
2017-12-24,10,4,4,4.6,91,Sun
2017-12-24,11,9,3,4.6,94,Sun
2017-12-24,12,4,4,4.8,96,Sun
2017-12-24,13,7,9,4.6,95,Sun
2017-12-24,14,28,4,4.1,91,Sun
2017-12-24,15,38,7,3.7,90,Sun
2017-12-24,16,54,28,3.3,90,Sun
2017-12-24,17,104,38,2.9,90,Sun
2017-12-24,18,128,54,2.3,91,Sun
2017-12-24,19,132,104,2.2,86,Sun
2017-12-24,20,116,128,1.9,82,Sun
2017-12-24,21,145,132,1.1,68,Sun
2017-12-24,22,110,116,0.6,67,Sun
2017-12-24,23,128,145,0.4,69,Sun
2017-12-25,0,160,110,0.2,69,Mon
2017-12-25,1,132,128,0,63,Mon
2017-12-25,2,115,160,-0.6,64,Mon
2017-12-25,3,100,132,-1.2,57,Mon
2017-12-25,4,72,115,-1.8,53,Mon
2017-12-25,5,32,100,-2.3,52,Mon
2017-12-25,6,59,72,-3,51,Mon
2017-12-25,7,61,32,-3.7,51,Mon
2017-12-25,8,94,59,-4.1,50,Mon
2017-12-25,9,107,61,-4.6,46,Mon
2017-12-25,10,133,94,-4.9,44,Mon
2017-12-25,11,179,107,-4.6,40,Mon
2017-12-25,12,221,133,-3.7,35,Mon
2017-12-25,13,244,179,-2.8,35,Mon
2017-12-25,14,274,221,-1.6,33,Mon
2017-12-25,15,319,244,-1.5,33,Mon
2017-12-25,16,272,274,-0.4,31,Mon
